festival_name,alternate_names,category,season_month,date_range,states_regions,cities_markets,cultural_significance,rituals,customer_behavior,demand_level,peak_period,product_categories,service_categories,merchant_type,customer_segment,payment_behavior,offers,payment_incentives,marketing_opportunity,inventory_needs,staffing_needs,logistics_needs,business_risks,merchant_scenario,recommended_action,confidence,reason
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Mumbai,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Gift-oriented and convenience-driven purchases increase,Very High,7-10 days before Diwali through Diwali day,sweets: mithai and gift boxes,home cleaning,home-services provider,premium shoppers,High UPI usage for small and medium tickets; cash remains relevant for local purchases,Loyalty points or wallet cashback on repeat purchases,Higher loyalty points for UPI transactions,Geo-target Mumbai customers with festival-specific messaging for mithai and gift boxes; start before the peak window.,Prioritize mithai and gift boxes; maintain safety stock and faster replenishment during peak days.,Add packing and delivery staff for peak order windows,Pre-book local delivery slots and optimize routes,Unsold seasonal inventory after the festival,Synthetic/example scenario: A home-services provider in Mumbai sees rising mithai and gift boxes demand from premium shoppers customers.,Create a festival bundle around mithai and gift boxes with a digital-payment incentive,0.88,"Synthetic example: Diwali demand in Mumbai typically concentrates around 7-10 days before diwali through diwali day, with mixed cash and upi; customers use qr payments at neighbourhood merchants; mithai and gift boxes is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Mumbai,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Bulk buying and family-oriented shopping increases,Very High,7-10 days before Diwali through Diwali day,"grocery: dry fruits, sweets and festive groceries",gift delivery,fashion retailer,premium shoppers,Digital payments increase during peak hours; contactless/card usage for premium purchases,Festival bundle discount with minimum order value,Small instant discount for digital payment,"Geo-target Mumbai customers with festival-specific messaging for dry fruits, sweets and festive groceries; start before the peak window.","Prioritize dry fruits, sweets and festive groceries; maintain safety stock and faster replenishment during peak days.",Add 1-2 sales/counter staff during peak hours,Coordinate supplier replenishment before peak days,Demand spikes causing queueing and delivery delays,"Synthetic/example scenario: A fashion retailer in Mumbai sees rising dry fruits, sweets and festive groceries demand from premium shoppers customers.",Offer a minimum-order free-delivery threshold and track hourly demand,0.96,"Synthetic example: Diwali demand in Mumbai typically concentrates around 7-10 days before diwali through diwali day, with digital payments increase during peak hours; contactless/card usage for premium purchases; dry fruits, sweets and festive groceries is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Lucknow,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Gift-oriented and convenience-driven purchases increase,Very High,7-10 days before Diwali through Diwali day,jewellery: gold and festive jewellery,courier/logistics,restaurant,budget-conscious shoppers,UPI dominates quick purchases; cards used for higher-value orders,Buy-more-save-more on festive essentials,Free add-on for orders paid digitally,Geo-target Lucknow customers with festival-specific messaging for gold and festive jewellery; start before the peak window.,Prioritize gold and festive jewellery; maintain safety stock and faster replenishment during peak days.,"Cross-train staff for billing, packing and customer support",Coordinate supplier replenishment before peak days,Cash-handling and reconciliation issues during peak hours,Synthetic/example scenario: A restaurant in Lucknow sees rising gold and festive jewellery demand from budget-conscious shoppers customers.,Use targeted local messaging in Lucknow and promote gold and festive jewellery 5-7 days early,0.96,"Synthetic example: Diwali demand in Lucknow typically concentrates around 7-10 days before diwali through diwali day, with high upi usage for small and medium tickets; cash remains relevant for local purchases; gold and festive jewellery is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Ahmedabad,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Bulk buying and family-oriented shopping increases,Very High,Early planning window; 10-15 days before festival,"electronics: smartphones, TVs and small appliances",gift delivery,home-services provider,tourists/travellers,UPI dominates quick purchases; cards used for higher-value orders,Loyalty points or wallet cashback on repeat purchases,Small instant discount for digital payment,"Geo-target Ahmedabad customers with festival-specific messaging for smartphones, TVs and small appliances; start before the peak window.","Prioritize smartphones, TVs and small appliances; maintain safety stock and faster replenishment during peak days.",Add 1-2 sales/counter staff during peak hours,Pre-book local delivery slots and optimize routes,Demand spikes causing queueing and delivery delays,"Synthetic/example scenario: A home-services provider in Ahmedabad sees rising smartphones, TVs and small appliances demand from tourists/travellers customers.","Create a festival bundle around smartphones, TVs and small appliances with a digital-payment incentive",0.79,"Synthetic example: Diwali demand in Ahmedabad typically concentrates around early planning window; 10-15 days before festival, with upi dominates quick purchases; cards used for higher-value orders; smartphones, TVs and small appliances is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Indore,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Customers compare prices and respond to bundles,Very High,7-10 days before Diwali through Diwali day,sweets: mithai and gift boxes,gift delivery,grocery store,premium shoppers,Mixed cash and UPI; customers use QR payments at neighbourhood merchants,Free delivery above a threshold,Small instant discount for digital payment,Geo-target Indore customers with festival-specific messaging for mithai and gift boxes; start before the peak window.,Prioritize mithai and gift boxes; maintain safety stock and faster replenishment during peak days.,"Cross-train staff for billing, packing and customer support",Pre-book local delivery slots and optimize routes,Stockouts on fast-moving SKUs and late replenishment,Synthetic/example scenario: A grocery store in Indore sees rising mithai and gift boxes demand from premium shoppers customers.,Add temporary staff for peak hours and pre-book delivery capacity,0.79,"Synthetic example: Diwali demand in Indore typically concentrates around 7-10 days before diwali through diwali day, with mixed cash and upi; customers use qr payments at neighbourhood merchants; mithai and gift boxes is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Lucknow,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Bulk buying and family-oriented shopping increases,Very High,7-10 days before Diwali through Diwali day,sweets: mithai and gift boxes,home cleaning,delivery merchant,tourists/travellers,Digital payments increase during peak hours; contactless/card usage for premium purchases,Buy-more-save-more on festive essentials,Free add-on for orders paid digitally,Geo-target Lucknow customers with festival-specific messaging for mithai and gift boxes; start before the peak window.,Prioritize mithai and gift boxes; maintain safety stock and faster replenishment during peak days.,Add packing and delivery staff for peak order windows,Increase last-mile capacity and packing material,Price competition and promotion margin pressure,Synthetic/example scenario: A delivery merchant in Lucknow sees rising mithai and gift boxes demand from tourists/travellers customers.,Use targeted local messaging in Lucknow and promote mithai and gift boxes 5-7 days early,0.82,"Synthetic example: Diwali demand in Lucknow typically concentrates around 7-10 days before diwali through diwali day, with digital payments increase during peak hours; contactless/card usage for premium purchases; mithai and gift boxes is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Delhi,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Customers compare prices and respond to bundles,Very High,7-10 days before Diwali through Diwali day,sweets: mithai and gift boxes,digital payments,neighbourhood retailer,families,Digital payments increase during peak hours; contactless/card usage for premium purchases,5-10% category discount during peak week,Free add-on for orders paid digitally,Geo-target Delhi customers with festival-specific messaging for mithai and gift boxes; start before the peak window.,Prioritize mithai and gift boxes; maintain safety stock and faster replenishment during peak days.,Add 1-2 sales/counter staff during peak hours,Increase last-mile capacity and packing material,Unsold seasonal inventory after the festival,Synthetic/example scenario: A neighbourhood retailer in Delhi sees rising mithai and gift boxes demand from families customers.,Increase mithai and gift boxes inventory by 20-35% and set a daily reorder threshold,0.83,"Synthetic example: Diwali demand in Delhi typically concentrates around 7-10 days before diwali through diwali day, with high upi usage for small and medium tickets; cash remains relevant for local purchases; mithai and gift boxes is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Jaipur,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Gift-oriented and convenience-driven purchases increase,Very High,7-10 days before Diwali through Diwali day,jewellery: gold and festive jewellery,courier/logistics,neighbourhood retailer,tourists/travellers,High UPI usage for small and medium tickets; cash remains relevant for local purchases,Festival bundle discount with minimum order value,Small instant discount for digital payment,Geo-target Jaipur customers with festival-specific messaging for gold and festive jewellery; start before the peak window.,Prioritize gold and festive jewellery; maintain safety stock and faster replenishment during peak days.,Add 1-2 sales/counter staff during peak hours,Increase last-mile capacity and packing material,Stockouts on fast-moving SKUs and late replenishment,Synthetic/example scenario: A neighbourhood retailer in Jaipur sees rising gold and festive jewellery demand from tourists/travellers customers.,Increase gold and festive jewellery inventory by 20-35% and set a daily reorder threshold,0.9,"Synthetic example: Diwali demand in Jaipur typically concentrates around 7-10 days before diwali through diwali day, with upi dominates quick purchases; cards used for higher-value orders; gold and festive jewellery is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Ahmedabad,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Peak-hour walk-ins and quick digital orders increase,Very High,7-10 days before Diwali through Diwali day,jewellery: gold and festive jewellery,gift delivery,sweet shop,office-goers,Mixed cash and UPI; customers use QR payments at neighbourhood merchants,Free delivery above a threshold,Higher loyalty points for UPI transactions,Geo-target Ahmedabad customers with festival-specific messaging for gold and festive jewellery; start before the peak window.,Prioritize gold and festive jewellery; maintain safety stock and faster replenishment during peak days.,Add packing and delivery staff for peak order windows,Coordinate supplier replenishment before peak days,Demand spikes causing queueing and delivery delays,Synthetic/example scenario: A sweet shop in Ahmedabad sees rising gold and festive jewellery demand from office-goers customers.,Use targeted local messaging in Ahmedabad and promote gold and festive jewellery 5-7 days early,0.78,"Synthetic example: Diwali demand in Ahmedabad typically concentrates around 7-10 days before diwali through diwali day, with mixed cash and upi; customers use qr payments at neighbourhood merchants; gold and festive jewellery is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Lucknow,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Gift-oriented and convenience-driven purchases increase,Very High,7-10 days before Diwali through Diwali day,sweets: mithai and gift boxes,home cleaning,travel operator,migrant households,High UPI usage for small and medium tickets; cash remains relevant for local purchases,Buy-more-save-more on festive essentials,UPI cashback or merchant-funded QR incentive,Geo-target Lucknow customers with festival-specific messaging for mithai and gift boxes; start before the peak window.,Prioritize mithai and gift boxes; maintain safety stock and faster replenishment during peak days.,Add 1-2 sales/counter staff during peak hours,Coordinate supplier replenishment before peak days,Unsold seasonal inventory after the festival,Synthetic/example scenario: A travel operator in Lucknow sees rising mithai and gift boxes demand from migrant households customers.,Create a festival bundle around mithai and gift boxes with a digital-payment incentive,0.96,"Synthetic example: Diwali demand in Lucknow typically concentrates around 7-10 days before diwali through diwali day, with digital payments increase during peak hours; contactless/card usage for premium purchases; mithai and gift boxes is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Lucknow,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Bulk buying and family-oriented shopping increases,Very High,7-10 days before Diwali through Diwali day,jewellery: gold and festive jewellery,gift delivery,home-services provider,migrant households,High UPI usage for small and medium tickets; cash remains relevant for local purchases,5-10% category discount during peak week,Free add-on for orders paid digitally,Geo-target Lucknow customers with festival-specific messaging for gold and festive jewellery; start before the peak window.,Prioritize gold and festive jewellery; maintain safety stock and faster replenishment during peak days.,Add 1-2 sales/counter staff during peak hours,Coordinate supplier replenishment before peak days,Cash-handling and reconciliation issues during peak hours,Synthetic/example scenario: A home-services provider in Lucknow sees rising gold and festive jewellery demand from migrant households customers.,Increase gold and festive jewellery inventory by 20-35% and set a daily reorder threshold,0.94,"Synthetic example: Diwali demand in Lucknow typically concentrates around 7-10 days before diwali through diwali day, with high upi usage for small and medium tickets; cash remains relevant for local purchases; gold and festive jewellery is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Lucknow,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Gift-oriented and convenience-driven purchases increase,Very High,7-10 days before Diwali through Diwali day,fashion: ethnic wear and family apparel,courier/logistics,delivery merchant,families,Mixed cash and UPI; customers use QR payments at neighbourhood merchants,Buy-more-save-more on festive essentials,Small instant discount for digital payment,Geo-target Lucknow customers with festival-specific messaging for ethnic wear and family apparel; start before the peak window.,Prioritize ethnic wear and family apparel; maintain safety stock and faster replenishment during peak days.,"Cross-train staff for billing, packing and customer support",Coordinate supplier replenishment before peak days,Stockouts on fast-moving SKUs and late replenishment,Synthetic/example scenario: A delivery merchant in Lucknow sees rising ethnic wear and family apparel demand from families customers.,Use targeted local messaging in Lucknow and promote ethnic wear and family apparel 5-7 days early,0.9,"Synthetic example: Diwali demand in Lucknow typically concentrates around 7-10 days before diwali through diwali day, with upi dominates quick purchases; cards used for higher-value orders; ethnic wear and family apparel is relevant to the selected merchant segment."
Diwali,Deepavali; Festival of Lights,Major Hindu festival,Autumn / October-November,5-day festival period; dates vary annually,"Pan-India; especially North, West, Central India",Jaipur,"Festival of lights associated with prosperity, Lakshmi worship, family gatherings and gifting",Diyas; Lakshmi puja; rangoli; family visits; gifting,Bulk buying and family-oriented shopping increases,Very High,7-10 days before Diwali through Diwali day,"electronics: smartphones, TVs and small appliances",home cleaning,fashion retailer,office-goers,High UPI usage for small and medium tickets; cash remains relevant for local purchases,Free delivery above a threshold,UPI cashback or merchant-funded QR incentive,"Geo-target Jaipur customers with festival-specific messaging for smartphones, TVs and small appliances; start before the peak window.","Prioritize smartphones, TVs and small appliances; maintain safety stock and faster replenishment during peak days.",Add 1-2 sales/counter staff during peak hours,Coordinate supplier replenishment before peak days,Unsold seasonal inventory after the festival,"Synthetic/example scenario: A fashion retailer in Jaipur sees rising smartphones, TVs and small appliances demand from office-goers customers.","Use targeted local messaging in Jaipur and promote smartphones, TVs and small appliances 5-7 days early",0.84,"Synthetic example: Diwali demand in Jaipur typically concentrates around 7-10 days before diwali through diwali day, with mixed cash and upi; customers use qr payments at neighbourhood merchants; smartphones, TVs and small appliances is relevant to the selected merchant segment."
